channel,month,product_grouping,product_quantity,sales
Retailer 2,2021-05-01,11124,18,121.5
E-commerce 2,2021-05-01,11124,6,74.97
E-commerce 2,2021-05-01,11125,5,49.975
E-commerce 2,2021-05-01,11133,5,49.975
Website,2021-05-01,11114,1,2.5
Wholesale,2021-05-01,11123,1,0
E-commerce 1,2021-04-01,11133,10719,106945.505549988
Website,2021-04-01,11113,3291,89440.0348500008
Website,2021-04-01,11127,5427,63722.2984000026
Website,2021-04-01,11137,2451,61318.8960000006
Retailer 1,2021-04-01,11127,8532,51735
Website,2021-04-01,11135,3951,43689.5541000021
Website,2021-04-01,11118,1156,33244.7249999997
E-commerce 1,2021-04-01,11127,3139,31374.3049999991
Website,2021-04-01,11130,2460,24213.4646999998
Website,2021-04-01,11124,1799,23673.0499000001
Website,2021-04-01,11119,2568,23613.6347499998
Retailer 1,2021-04-01,11123,1776,22200
Website,2021-04-01,11133,1975,14195.1360500002
Retailer 1,2021-04-01,11135,2808,14040
Website,2021-04-01,11125,1546,12143.9401
Wholesale,2021-04-01,11127,2743,12038.4
Website,2021-04-01,11120,3046,11442.5695500001
Website,2021-04-01,11136,1409,10548.7250000001
Website,2021-04-01,11132,1132,7939.36489999994
Website,2021-04-01,11129,322,6998.20494999998
Retailer 1,2021-04-01,11130,1242,6831
Retailer 1,2021-04-01,11133,624,4212
E-commerce 1,2021-04-01,11124,284,3548.57999999998
E-commerce 1,2021-04-01,11128,233,2538.91
Website,2021-04-01,11128,281,2319.14499999999
Website,2021-04-01,11112,121,1813.28
Retailer 2,2021-04-01,11123,125,1625
Retailer 1,2021-04-01,11128,288,1584
Retailer 1,2021-04-01,11124,252,1575
Website,2021-04-01,11123,85,1041
Retailer 2,2021-04-01,11127,149,819.5
Website,2021-04-01,11143,66,672.86
Website,2021-04-01,11145,125,573.069999999999
E-commerce 2,2021-04-01,11113,14,414.94
E-commerce 2,2021-04-01,11127,12,182.44
E-commerce 2,2021-04-01,11135,12,182.44
Retailer 2,2021-04-01,11124,26,175.5
Website,2021-04-01,11149,1253,149.28
Website,2021-04-01,11142,28,149.045
Website,2021-04-01,11139,817,134.765
Website,2021-04-01,11114,737,127.265
Website,2021-04-01,11144,13,109.435
Website,2021-04-01,11146,28,105.495
Website,2021-04-01,11126,10,89.455
E-commerce 2,2021-04-01,11130,4,77.48
E-commerce 2,2021-04-01,11119,5,74.975
E-commerce 2,2021-04-01,11125,3,54.985
E-commerce 1,2021-04-01,11112,2,34.99
E-commerce 2,2021-04-01,11133,1,9.995
Website,2021-04-01,11147,1,9.995
Wholesale,2021-04-01,11120,1,0
Website,2021-04-01,11121,2,0
Wholesale,2021-04-01,11121,2,0
Wholesale,2021-04-01,11123,1,0
Wholesale,2021-04-01,11125,1,0
Wholesale,2021-04-01,11137,1,0
Wholesale,2021-04-01,11136,2,0
Wholesale,2021-04-01,11130,6,0
Wholesale,2021-04-01,11132,3,0
Wholesale,2021-04-01,11135,18,0
Wholesale,2021-04-01,11128,6,0
E-commerce 1,2021-03-01,11133,12064,120369.665049982
Website,2021-03-01,11113,3477,94606.4300500001
Retailer 1,2021-03-01,11127,9282,64653.6
Website,2021-03-01,11127,5469,64117.9944000039
Retailer 1,2021-03-01,11135,8622,47115
Website,2021-03-01,11135,3995,45229.0597000023
Website,2021-03-01,11118,1130,33288.9499999997
E-commerce 1,2021-03-01,11127,3102,31004.4849999996
Retailer 1,2021-03-01,11123,2076,25693.62
Website,2021-03-01,11119,2498,23437.96465
Website,2021-03-01,11130,2292,22444.8449999999
Website,2021-03-01,11124,1507,20606.2448500002
Wholesale,2021-03-01,11127,3513,17768.495
Retailer 1,2021-03-01,11133,2208,14688
Wholesale,2021-03-01,11133,2008,12525
Website,2021-03-01,11133,1670,12369.9748500002
Website,2021-03-01,11125,1477,11586.565
Website,2021-03-01,11136,1356,10569.79495
Wholesale,2021-03-01,11135,2205,9617.25
Website,2021-03-01,11120,2076,8117.3845499999
Wholesale,2021-03-01,11119,1246,7623.745
Website,2021-03-01,11129,337,7517.335
Wholesale,2021-03-01,11130,1111,6521.25
Website,2021-03-01,11132,843,6288.23499999995
Wholesale,2021-03-01,11124,601,4128
Retailer 1,2021-03-01,11130,618,3306
E-commerce 1,2021-03-01,11124,237,2961.31499999998
E-commerce 1,2021-03-01,11128,254,2770.73999999998
Website,2021-03-01,11147,343,2621.85994999999
Retailer 1,2021-03-01,11124,348,2180.88
Retailer 2,2021-03-01,11123,152,1976
Website,2021-03-01,11112,123,1889.89
Website,2021-03-01,11128,169,1392.06495
Retailer 2,2021-03-01,11127,208,1144
Wholesale,2021-03-01,11125,245,1050
Wholesale,2021-03-01,11120,501,1031.25
Retailer 1,2021-03-01,11128,180,1013.76
E-commerce 2,2021-03-01,11113,15,504.945
Website,2021-03-01,11123,36,449.985
E-commerce 2,2021-03-01,11127,20,312.4
Website,2021-03-01,11114,906,288.14
Retailer 2,2021-03-01,11124,39,263.25
E-commerce 2,2021-03-01,11135,16,234.94
E-commerce 1,2021-03-01,11112,12,209.94
Website,2021-03-01,11149,545,133.125
Website,2021-03-01,11139,471,128.335
E-commerce 2,2021-03-01,11119,8,117.46
E-commerce 2,2021-03-01,11130,4,77.48
E-commerce 2,2021-03-01,11125,2,32.49
E-commerce 2,2021-03-01,11124,2,24.99
Wholesale,2021-03-01,11112,2,17.495
Wholesale,2021-03-01,11121,1,0
Wholesale,2021-03-01,11123,4,0
Wholesale,2021-03-01,11132,27,0
Wholesale,2021-03-01,11136,2,0
E-commerce 1,2021-02-01,11133,10576,105406.485399989
Website,2021-02-01,11113,2939,79852.8899500008
Website,2021-02-01,11127,4399,49389.5794000018
